product,ProductMesh,MatGroup
AC LD 40,ACCUCAST LD 40,Accucast LD
CG260-010,CARBOGRIND 260-010,CarboLite
CG280-030,CARBOGRIND 280-030,CarboLite
CL12/18,CARBO LITE 12/18,CarboLite
CL16/30,CARBO LITE 16/30,CarboLite
CL20/40,CARBO LITE 20/40,CarboLite
CL5/8,CARBO LITE 5/8,CarboLite
CL8/14,CARBO LITE 8/14,CarboLite
CLNRT16/30,CARBOLITE NRT 16/30 Bulk Bag,CarboNRT
CLNRT20/40,CARBOLITE NRT 20/40,CarboNRT
EP30/50,ECONO PROP 30/50,CarboEconoprop
KSHD25,KRYPTOSPHERE HD (H) 25,Kryptosphere
KSLD25,KRYPTOSPHERE LD 35,Kryptosphere
NRTKSLD35,CARBONRT KRYPTOSPHERE LD 35,CarboNRT
UL16/20,ULTRALITE - GUARD 16/20,CarboLite
UL30/50,CARBOAIR ULTRALITE 30/50,CarboLite
ULSG20/40,ULTRALITE - GUARD 20/40,CarboLite
Bauxite Pellets,BAUXITE PELLET,Bauxite
CP12/18,CARBO PROP 12/18,CarboProp
CP16/30,CARBO PROP 16/30,CarboProp
CP20/40,CARBO PROP 20/40,CarboProp
HSP16/30,CARBO HSP 16/30,CarboHSP
HSP20/40,CARBO HSP 20/40,CarboHSP
HSP40/70,CARBO HSP 40/70,CarboHSP
HSP6/12,CARBO HSP  6/12 WIP,CarboHSP
HT 50,ACCUCAST HT 50,Accucast ID
HT 70,ACCUCAST HT 70,Accucast ID
HT 80,ACCUCAST HT 80,Accucast ID
ID40,ACCUCAST ID 40,Accucast ID
ID50,ACCUCAST ID 50,Accucast ID
ID60,ACCUCAST ID 60,Accucast ID
ID70,ACCUCAST ID 70,Accucast ID
ID80,ACCUCAST ID 80,Accucast ID
NanoExpress,NANOMITE EXPRESS,NANOMITE
CARBO AIR,CARBO AIR 30/50,CARBOAIR
CARBOBond HSP,CARBOBOND HSP 30/50,Resin Coated HSP
CARBOBond KSLD,CARBOBOND KRYPTOSPHERE LD 25,Kryptosphere
CARBOBond Lite,CARBOBOND LITE 20/40,Resin Coated CL
RC ACHT,ACCUCAST HT 50,Accucast ID
RPM LITE / NEUTRAPROP LWC,NEUTRALWET LITE 30/50,RPM
CL16/20,CARBO LITE 16/20,CarboLite
CL40/60,CARBO LITE 40/60,CarboLite
EP20/40,ECONO PROP 20/40,CarboEconoprop
HA PELLETS,HA PELLETS AG GRADE 1804,Mineral Processing
ISPLT,CARBO ISP 20/40,ISP
